LanguagesWorkedWith
HTML/CSS;Java;JavaScript;Python
C++;HTML/CSS;Python
HTML/CSS
C;C++;C#;Python;SQL
C++;HTML/CSS;Java;JavaScript;Python;SQL;VBA
Java;R;SQL
HTML/CSS;JavaScript
Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;SQL
Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript;WebAssembly;Other(s):
C#;Go;JavaScript;Python;R;SQL
Other(s):
Bash/Shell/PowerShell;HTML/CSS;Java;Python;R;SQL
Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;TypeScript
C++
Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;SQL
Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;TypeScript;VBA
Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript
Python;R
C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL
Assembly;Bash/Shell/PowerShell;C;C++;Go;Java;JavaScript;Kotlin;Python;Rust;SQL;Swift
Bash/Shell/PowerShell;C++;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript
Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Ruby;SQL
HTML/CSS;JavaScript;PHP;TypeScript
HTML/CSS;JavaScript;PHP;SQL;TypeScript
Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;Swift;TypeScript;VBA
C++;JavaScript;Python;Ruby;SQL;TypeScript
JavaScript;TypeScript
Bash/Shell/PowerShell;JavaScript;SQL
Python
Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python
C++;Python;R
HTML/CSS;JavaScript
HTML/CSS;JavaScript
Java;Kotlin;Python
Bash/Shell/PowerShell;JavaScript;Python;Other(s):
C#;HTML/CSS;JavaScript;SQL
C#;JavaScript;SQL;TypeScript
C#;HTML/CSS
Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;SQL
HTML/CSS;JavaScript;PHP;TypeScript
C++;C#;HTML/CSS;Java;JavaScript;Objective-C;SQL
Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript;WebAssembly
Python
Bash/Shell/PowerShell;C;C#;HTML/CSS;JavaScript;PHP;Python;SQL;Other(s):
Java;PHP;Ruby
HTML/CSS;PHP;SQL
Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Python;R;TypeScript
Bash/Shell/PowerShell;C;C++;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;Rust;SQL;TypeScript
Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python
Java;Python;SQL
Bash/Shell/PowerShell;HTML/CSS;Java;SQL
JavaScript;Python
C#;Java;SQL
HTML/CSS;JavaScript;PHP;SQL
Bash/Shell/PowerShell;Go;JavaScript;PHP;Python;Ruby;SQL
C++;C#;HTML/CSS;JavaScript;PHP;Python;SQL;VBA
