iter	RMSE
200	102614.8751
201	102561.6954
202	102536.3566
203	102493.1154
204	102465.6025
205	102433.5038
206	102406.0165
207	102376.2222
208	102351.6451
209	102311.053
210	102279.3278
211	102255.0171
212	102228.7986
213	102196.6333
214	102177.9457
215	102119.7341
216	102095.9077
217	102071.3824
218	102047.0423
219	102020.5995
220	101983.8915
221	101938.1937
222	101907.9971
223	101883.3612
224	101861.3884
225	101828.351
226	101781.6688
227	101744.2535
228	101710.3582
229	101666.3655
230	101613.1602
231	101587.5712
232	101545.4137
233	101496.7906
234	101462.0521
235	101432.1378
236	101407.6423
237	101375.7291
238	101347.2703
239	101290.3328
240	101248.3901
241	101209.0002
242	101188.4844
243	101167.5893
244	101135.958
245	101117.6919
246	101088.0717
247	101040.0675
248	101008.976
249	100977.8175
250	100930.1562
251	100895.2847
252	100862.1298
253	100841.243
254	100813.5883
255	100774.2003
256	100744.4425
257	100718.0366
258	100686.6943
259	100655.163
260	100628.5138
261	100591.9883
262	100565.3414
263	100531.3441
264	100502.1281
265	100445.0086
266	100422.9209
267	100393.7009
268	100360.6139
269	100327.2722
270	100288.8821
271	100255.3804
272	100231.5853
273	100192.1511
274	100157.0955
275	100110.0012
276	100076.3551
277	100051.6964
278	100024.37
279	100001.0244
280	99976.70521
281	99955.74276
282	99923.34036
283	99883.03167
284	99843.94722
285	99818.33565
286	99774.26536
287	99738.84662
288	99709.85529
289	99678.155
290	99650.70314
291	99619.40021
292	99597.90335
293	99570.25262
294	99536.45931
295	99494.10473
296	99466.94031
297	99442.65115
298	99417.40143
299	99385.73526
300	99357.30548
301	99318.5692
302	99292.11488
303	99255.0742
304	99216.8037
305	99185.91323
306	99162.9202
307	99111.94127
308	99087.61261
309	99048.59416
310	99017.46379
311	98986.45429
312	98928.61372
313	98896.8027
314	98874.23828
315	98838.12414
316	98817.56345
317	98781.32165
318	98752.53025
319	98716.50721
320	98685.79244
321	98662.46147
322	98639.78555
323	98616.43578
324	98597.33777
325	98576.28235
326	98553.95119
327	98521.21645
328	98499.02582
329	98469.95754
330	98443.61083
331	98400.34421
332	98369.46129
333	98337.78994
334	98313.76875
335	98265.82881
336	98245.73175
337	98206.99488
338	98166.56054
339	98138.81597
340	98114.52784
341	98092.00483
342	98070.904
343	98044.84007
344	98012.54455
345	97992.57556
346	97976.20034
347	97948.76434
348	97931.67439
349	97910.5357
350	97887.43125
351	97862.83128
352	97823.86214
353	97788.89753
354	97753.79177
355	97718.03743
356	97666.6625
357	97634.94896
358	97614.483
359	97582.40363
360	97541.84015
361	97520.38644
362	97484.45206
363	97467.5824
364	97443.77995
365	97418.38132
366	97388.33971
367	97355.06134
368	97318.95694
369	97291.38297
370	97263.65861
371	97226.83812
372	97195.32402
373	97154.30261
374	97121.67997
375	97106.06237
376	97078.46194
377	97047.55884
378	97031.01951
379	97002.13776
380	96971.64253
381	96946.47904
382	96908.6811
383	96881.69445
384	96856.16543
385	96836.97391
386	96793.67302
387	96769.35164
388	96730.9879
389	96694.61726
390	96658.62243
391	96619.48148
392	96589.41817
393	96559.26002
394	96525.6764
395	96513.99406
396	96491.69312
397	96458.29738
398	96434.10575
399	96414.21794
400	96388.20671
401	96352.54823
402	96330.77458
403	96281.19399
404	96246.3281
405	96205.01842
406	96178.88489
407	96155.09615
408	96138.69699
409	96119.57761
410	96087.40909
411	96069.18573
412	96038.22456
413	96021.02694
414	96006.3107
415	95981.70799
416	95958.9721
417	95926.61004
418	95907.42857
419	95875.56645
